time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],waveHs[unit="meter"],waveTp[unit="second"],waveDp[unit="degreeT"],waveFlagPrimary
2026-08-26T00:00:00Z,D0481,32.851,-117.273,0.48994595,16.666668,339.82608,1
2026-08-26T03:00:00Z,D0481,32.851,-117.273,0.5020498,16.666668,339.03705,1
2026-08-26T06:00:00Z,D0481,32.851,-117.273,0.5150734,16.666668,338.62668,1
2026-08-26T09:00:00Z,D0481,32.851,-117.273,0.5316659,16.666668,338.35028,1
2026-08-26T12:00:00Z,D0481,32.851,-117.273,0.55098933,15.384616,341.07025,1
2026-08-26T15:00:00Z,D0481,32.851,-117.273,0.5669276,15.384616,340.53226,1
2026-08-26T18:00:00Z,D0481,32.851,-117.273,0.5782895,15.384616,340.51926,1
2026-08-26T21:00:00Z,D0481,32.851,-117.273,0.5766778,15.384616,340.7402,1
2026-08-27T00:00:00Z,D0481,32.851,-117.273,0.5712675,15.384616,341.1974,1
2026-08-27T03:00:00Z,D0481,32.851,-117.273,0.5624626,15.384616,341.8755,1
2026-08-27T06:00:00Z,D0481,32.851,-117.273,0.54744047,15.384616,342.5707,1
2026-08-27T09:00:00Z,D0481,32.851,-117.273,0.550174,15.384616,343.10342,1
2026-08-27T12:00:00Z,D0481,32.851,-117.273,0.5702855,14.285714,344.1226,1
2026-08-27T15:00:00Z,D0481,32.851,-117.273,0.58732814,12.5,313.3058,1
2026-08-27T18:00:00Z,D0481,32.851,-117.273,0.6055334,14.285714,345.73697,1
2026-08-27T21:00:00Z,D0481,32.851,-117.273,0.61318046,14.285714,345.13214,1
2026-08-28T00:00:00Z,D0481,32.851,-117.273,0.6013136,14.285714,344.8279,1
2026-08-28T03:00:00Z,D0481,32.851,-117.273,0.5848842,14.285714,344.63513,1
2026-08-28T06:00:00Z,D0481,32.851,-117.273,0.57188916,14.285714,344.42947,1
2026-08-28T09:00:00Z,D0481,32.851,-117.273,0.56375456,14.285714,344.6204,1
2026-08-28T12:00:00Z,D0481,32.851,-117.273,0.5584349,16.666668,342.35318,1
2026-08-28T15:00:00Z,D0481,32.851,-117.273,0.55227345,16.666668,342.21445,1
2026-08-28T18:00:00Z,D0481,32.851,-117.273,0.5530754,16.666668,342.20276,1
2026-08-28T21:00:00Z,D0481,32.851,-117.273,0.56539494,16.666668,342.39398,1
2026-08-29T00:00:00Z,D0481,32.851,-117.273,0.5795154,20.0,337.487,1
2026-08-29T03:00:00Z,D0481,32.851,-117.273,0.590959,18.181818,338.73224,1
2026-08-29T06:00:00Z,D0481,32.851,-117.273,0.60542774,18.181818,338.71048,1
2026-08-29T09:00:00Z,D0481,32.851,-117.273,0.616912,18.181818,338.81436,1
2026-08-29T12:00:00Z,D0481,32.851,-117.273,0.6262713,18.181818,339.21692,1
2026-08-29T15:00:00Z,D0481,32.851,-117.273,0.65486187,18.181818,339.4279,1
2026-08-29T18:00:00Z,D0481,32.851,-117.273,0.67461205,16.666668,342.22302,1
2026-08-29T21:00:00Z,D0481,32.851,-117.273,0.6727993,16.666668,342.6872,1
2026-08-30T00:00:00Z,D0481,32.851,-117.273,0.66514134,16.666668,343.06677,1
2026-08-30T03:00:00Z,D0481,32.851,-117.273,0.6710363,16.666668,343.2475,1
2026-08-30T06:00:00Z,D0481,32.851,-117.273,0.69555,15.384616,345.77438,1
2026-08-30T09:00:00Z,D0481,32.851,-117.273,0.72271514,15.384616,346.07275,1
2026-08-30T12:00:00Z,D0481,32.851,-117.273,0.7394043,15.384616,346.11902,1
2026-08-30T15:00:00Z,D0481,32.851,-117.273,0.7329424,15.384616,346.0855,1
2026-08-30T18:00:00Z,D0481,32.851,-117.273,0.7041448,15.384616,346.02875,1
2026-08-30T21:00:00Z,D0481,32.851,-117.273,0.66898006,14.285714,348.86966,1
2026-08-31T00:00:00Z,D0481,32.851,-117.273,0.6370135,14.285714,348.92856,1
2026-08-31T03:00:00Z,D0481,32.851,-117.273,0.63097876,14.285714,348.83374,1
2026-08-31T06:00:00Z,D0481,32.851,-117.273,0.6332533,14.285714,348.70807,1
2026-08-31T09:00:00Z,D0481,32.851,-117.273,0.6231788,14.285714,348.5514,1
2026-08-31T12:00:00Z,D0481,32.851,-117.273,0.5951982,14.285714,348.29364,1
2026-08-31T15:00:00Z,D0481,32.851,-117.273,0.5625786,14.285714,348.18436,1
2026-08-31T18:00:00Z,D0481,32.851,-117.273,0.5291668,14.285714,348.2646,1
2026-08-31T21:00:00Z,D0481,32.851,-117.273,0.5012515,14.285714,348.8746,1
2026-09-01T00:00:00Z,D0481,32.851,-117.273,0.48860735,14.285714,350.08688,1
2026-09-01T03:00:00Z,D0481,32.851,-117.273,0.49323973,14.285714,350.95035,1
2026-09-01T06:00:00Z,D0481,32.851,-117.273,0.5115301,13.333333,334.13962,1
2026-09-01T09:00:00Z,D0481,32.851,-117.273,0.52970034,13.333333,333.3517,1
2026-09-01T12:00:00Z,D0481,32.851,-117.273,0.5454224,13.333333,331.73572,1
2026-09-01T15:00:00Z,D0481,32.851,-117.273,0.5675749,13.333333,327.46738,1
2026-09-01T18:00:00Z,D0481,32.851,-117.273,0.59855855,13.333333,325.5885,1
2026-09-01T21:00:00Z,D0481,32.851,-117.273,0.6402116,12.5,305.1863,1
